date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:20:07	67/67	U--MC-	200	updated ('OK')	text/plain	date:Thu,%2005%20Jun%202025%2007:18:00%20GMT	http://www.aep.ng/robots.txt		(from )
08:20:13	101343/101343	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:17:59%20GMT	http://www.aep.ng/	C:/My%20Web%20Sites/aep/www.aep.ng/index.html	(from )
08:20:13	204298/204298	U-----	200	untouched ('')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:26:02%20GMT	http://www.aep.ng/wp-content/uploads/2020/03/AEPicon.jpg	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/uploads/2020/03/AEPicon.jpg	(from http://www.aep.ng/)
08:20:15	1646/1646	U-----	200	untouched ('')	application/rss+xml	etag:%229724198f771f17820a907b7c3cc7165f%22	http://www.aep.ng/comments/feed/	C:/My%20Web%20Sites/aep/www.aep.ng/comments/feed/index.html	(from http://www.aep.ng/)
08:20:15	1616/1616	U-----	200	untouched ('')	application/rss+xml	etag:%2218eb40bab6aaf347479875d38143c787%22	http://www.aep.ng/feed/	C:/My%20Web%20Sites/aep/www.aep.ng/feed/index.html	(from http://www.aep.ng/)
08:20:15	721/721	U-----	200	untouched ('')	application/rss+xml	etag:%229724198f771f17820a907b7c3cc7165f%22	http://www.aep.ng/home/feed/	C:/My%20Web%20Sites/aep/www.aep.ng/home/feed/index.html	(from http://www.aep.ng/)
08:20:15	22273/22273	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2006:10:16%20GMT	http://www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.10.2	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider36ec.css	(from http://www.aep.ng/)
08:20:16	1645/1645	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:47:22%20GMT	http://www.aep.ng/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from http://www.aep.ng/)
08:20:16	56552/56552	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2006:03:34%20GMT	http://www.aep.ng/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.8	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/revslider/public/assets/css/rs6fe13.css	(from http://www.aep.ng/)
08:20:16	41045/41045	U-----	200	untouched ('OK')	text/css	date:Thu,%2011%20Jun%202020%2008:35:40%20GMT	http://www.aep.ng/wp-includes/css/dist/block-library/style.min.css?ver=5.3.18	C:/My%20Web%20Sites/aep/www.aep.ng/wp-includes/css/dist/block-library/style.min4109.css	(from http://www.aep.ng/)
08:20:16	287/287	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:12:21%20GMT	http://www.aep.ng/wp-content/themes/betheme/style.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/style6d7d.css	(from http://www.aep.ng/)
08:20:17	57342/57342	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:42:05%20GMT	http://www.aep.ng/wp-content/themes/betheme/css/base.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/css/base6d7d.css	(from http://www.aep.ng/)
08:20:17	116639/116639	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:42:01%20GMT	http://www.aep.ng/wp-content/themes/betheme/css/layout.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/css/layout6d7d.css	(from http://www.aep.ng/)
08:20:17	138889/138889	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:41:49%20GMT	http://www.aep.ng/wp-content/themes/betheme/css/shortcodes.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/css/shortcodes6d7d.css	(from http://www.aep.ng/)
08:20:18	18765/18765	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:57:14%20GMT	http://www.aep.ng/wp-content/themes/betheme/assets/ui/jquery.ui.all.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/assets/ui/jquery.ui.all6d7d.css	(from http://www.aep.ng/)
08:20:18	58508/58508	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:57:32%20GMT	http://www.aep.ng/wp-content/themes/betheme/assets/animations/animations.min.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/assets/animations/animations.min6d7d.css	(from http://www.aep.ng/)
08:20:18	9834/9834	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2006:15:40%20GMT	http://www.aep.ng/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday6d7d.css	(from http://www.aep.ng/)
08:20:18	55740/55740	U-----	200	untouched ('OK')	text/css	date:Thu,%2005%20Mar%202020%2005:41:44%20GMT	http://www.aep.ng/wp-content/themes/betheme/css/responsive.css?ver=20.9.7	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/themes/betheme/css/responsive6d7d.css	(from http://www.aep.ng/)
08:20:19	122239/122239	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2006:10:26%20GMT	http://www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from http://www.aep.ng/)
08:20:19	96873/96873	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2007:57:38%20GMT	http://www.aep.ng/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/aep/www.aep.ng/wp-includes/js/jquery/jquery4a5f.js	(from http://www.aep.ng/)
08:20:20	10056/10056	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2007:57:22%20GMT	http://www.aep.ng/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/aep/www.aep.ng/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.aep.ng/)
08:20:20	127357/127357	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2006:10:27%20GMT	http://www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.10.2	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery36ec.js	(from http://www.aep.ng/)
08:20:21	21779/21779	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2006:10:23%20GMT	http://www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.10.2	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions36ec.js	(from http://www.aep.ng/)
08:20:22	148822/148822	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2006:03:45%20GMT	http://www.aep.ng/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js?ver=6.0	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/revslider/public/assets/js/revolution.tools.minf049.js	(from http://www.aep.ng/)
08:20:22	289812/289812	U-----	200	untouched ('')	application/javascript	date:Thu,%2005%20Mar%202020%2006:03:44%20GMT	http://www.aep.ng/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.1.8	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/plugins/revslider/public/assets/js/rs6.minfe13.js	(from http://www.aep.ng/)
08:20:24	1045/1045	U-----	200	untouched ('')	application/xml	date:Thu,%2005%20Mar%202020%2007:44:30%20GMT	http://www.aep.ng/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/aep/www.aep.ng/wp-includes/wlwmanifest.xml	(from http://www.aep.ng/)
08:20:25	2215/2215	U--MC-	200	updated ('OK')	application/json	date:Thu,%2005%20Jun%202025%2007:18:17%20GMT	http://www.aep.ng/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.aep.ng%2F	C:/My%20Web%20Sites/aep/www.aep.ng/wp-json/oembed/1.0/embed6c84.json	(from http://www.aep.ng/)
08:20:26	768/768	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2005%20Jun%202025%2007:18:17%20GMT	http://www.aep.ng/xmlrpc.php?rsd	C:/My%20Web%20Sites/aep/www.aep.ng/xmlrpc0db0.php	(from http://www.aep.ng/)
08:20:26	200475/200475	U-----	200	untouched ('')	image/jpeg	date:Thu,%2005%20Mar%202020%2005:26:34%20GMT	http://www.aep.ng/wp-content/uploads/2020/03/Oil-and-Gas-1-.jpg	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/uploads/2020/03/Oil-and-Gas-1-.jpg	(from http://www.aep.ng/)
08:20:26	2310/2310	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2005%20Jun%202025%2007:18:17%20GMT	http://www.aep.ng/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.aep.ng%2F&format=xml	C:/My%20Web%20Sites/aep/www.aep.ng/wp-json/oembed/1.0/embed9a2f	(from http://www.aep.ng/)
08:20:26	112664/112664	U-----	200	untouched ('')	image/jpeg	date:Mon,%2019%20Oct%202020%2011:01:37%20GMT	http://www.aep.ng/wp-content/uploads/2020/10/AEP-Logo-Main-Main-1-scaled.jpg	C:/My%20Web%20Sites/aep/www.aep.ng/wp-content/uploads/2020/10/AEP-Logo-Main-Main-1-scaled.jpg	(from http://www.aep.ng/)
08:20:29	77789/77789	U--MC-	200	updated ('OK')	application/json	date:Thu,%2005%20Jun%202025%2007:18:16%20GMT	http://www.aep.ng/wp-json/	C:/My%20Web%20Sites/aep/www.aep.ng/wp-json/index.html	(from http://www.aep.ng/)
08:20:53	93939/93939	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:18:20%20GMT	http://www.aep.ng/our-team/	C:/My%20Web%20Sites/aep/www.aep.ng/our-team/index.html	(from http://www.aep.ng/)
08:21:06	92195/92195	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:18:19%20GMT	http://www.aep.ng/about-us/	C:/My%20Web%20Sites/aep/www.aep.ng/about-us/index.html	(from http://www.aep.ng/)
08:21:07	87153/87153	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:18:20%20GMT	http://www.aep.ng/our-services/	C:/My%20Web%20Sites/aep/www.aep.ng/our-services/index.html	(from http://www.aep.ng/)
08:21:10	87372/87372	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:18:22%20GMT	http://www.aep.ng/oil-and-gas/	C:/My%20Web%20Sites/aep/www.aep.ng/oil-and-gas/index.html	(from http://www.aep.ng/)
08:21:22	85518/85518	U--MC-	200	updated ('OK')	text/html	date:Thu,%2005%20Jun%202025%2007:18:47%20GMT	http://www.aep.ng/power/	C:/My%20Web%20Sites/aep/www.aep.ng/power/index.html	(from http://www.aep.ng/)
